100053.4	Array_1_101-864_F	JQGS01000065	NA	JQGS01000065_1	101	864	I-E	Array_1_864-162_R_I-E			
100053.4	Array_1_29871-28438_R	JQGS01000093	NA	JQGS01000093_1	29871	28438	I-E	Array_1_28499-29811_F_I-E			
100053.5	Array_1_1763-2159_F	JQGU01000128	NA	JQGU01000128_1	1763	2159	NA	Array_1_1763-2097_F_NA	1	1,1,Partial	TypeI-E
100053.5	Array_1_84-783_F	JQGU01000151	NA	JQGU01000151_1	84	783	I-E	Array_1_783-145_R_I-E			
100053.5	Array_1_30-1484_F	JQGU01000025	NA	JQGU01000025_1	30	1484	I-E	Array_1_1484-114_R_I-E			
100053.6	Array_1_11950-8813_R	JQGV01000216	NA	JQGV01000216_1	11950	8813	I-E	Array_1_8813-10304_F_I-E			
100053.6	Array_1_1624-12_R	JQGV01000049	NA	JQGV01000049_1	1624	12	I-E	Array_1_12-1504_F_I-E			
100053.7	Array_1_39304-38910_R	JQGT01000012	NA	JQGT01000012_1	39304	38910	I-E	Array_1_38910-39243_F_I-E			
100053.7	Array_1_42803-41283_R	JQGT01000117	NA	JQGT01000117_1	42803	41283	I-E	Array_1_41283-42659_F_I-E			
100053.7	Array_1_1763-2708_F	JQGT01000154	NA	JQGT01000154_1	1763	2708	NA	Array_1_1763-2646_F_NA	1	1,1,Partial	TypeI-E
100053.8	Array_1_628-293_R	JQGW01000104	NA	JQGW01000104_1	628	293	NA	Array_1_628-354_R_NA	1	1,0,Partial	TypeI-E
100053.8	Array_1_177-325_F	JQGW01000031	NA	JQGW01000031_1	177	325	I-E	Array_1_325-174_R_I-E			
100053.8	Array_1_126-825_F	JQGW01000095	NA	JQGW01000095_1	126	825	I-E	Array_1_825-186_R_I-E			
100053.8	Array_1_89-361_F	JQGW01000100	NA	JQGW01000100_1	89	361	I-E	Array_1_361-150_R_I-E			
1000562.3	Array_1_1210-1907_F	JSAP01000045	II-B	JSAP01000045_1	1210	1907	II-A/C	Array_1_1210-1842_F_II-A/C			
1000562.3	Array_1_775-13_R	JSAP01000085	II-B	JSAP01000085_1	775	13	II-A/C	Array_1_775-79_R_II-A/C	3	1,1,Partial	TypeII-A,TypeII-C
1000562.3	Array_2_7288-8181_F	JSAP01000085	II-B	JSAP01000085_2	7288	8181	II-A/C	Array_2_7288-8181_F_II-A/C	3	1,1,Partial	TypeII-A,TypeII-C
1000589.3	Array_1_6637-5209_R	AFIN01000106	NA	AFIN01000106_1	6637	5209	I-C	Array_1_6637-5274_R_I-C			
1000589.3	Array_1_16950-16187_R	AFIN01000194	II-B	AFIN01000194_1	16950	16187	II-A	Array_1_16950-16253_R_II-A	3	1,0,Complete	TypeII-A
1001588.3	Array_1_47804-45880_R	AFLU01000073	NA	AFLU01000073_1	47804	45880	NA	Array_1_45880-46273_F_NA	2	1,1,Partial	TypeI-A,TypeI-B,TypeI-C,TypeI-D,TypeI-E,TypeI-F,TypeI-U
1001592.3	Array_1_95025-94811_R	AFLX01000028	NA	AFLX01000028_1	95025	94811	I-E	Array_1_94811-94962_F_I-E			
1001592.3	Array_1_5427-4815_R	AFLX01000033	NA	AFLX01000033_1	5427	4815	NA	Array_1_5427-4884_R_NA	2	1,1,Partial	TypeI-A,TypeI-B,TypeI-C,TypeI-D,TypeI-E,TypeI-F,TypeI-U,TypeII-A,TypeII-B,TypeII-C,TypeIII-A,TypeIII-B,TypeIII-C,TypeIII-D,TypeV-A,TypeV-B,TypeV-C,TypeV-D,TypeV-E
1001592.3	Array_1_183143-183537_F	AFLX01000036	NA	AFLX01000036_1	183143	183537	I-E	Array_1_183537-183203_R_I-E			
1001592.3	Array_1_61699-62034_F	AFLX01000037	NA	AFLX01000037_1	61699	62034	I-E	Array_1_62034-61761_R_I-E	3	1,0,Partial	TypeI-E
1001593.3	Array_1_3758-5089_F	AFLY01000027	NA	AFLY01000027_1	3758	5089	NA	Array_1_3758-4804_F_NA			
1001593.3	Array_2_120467-119436_R	AFLY01000027	NA	AFLY01000027_2	120467	119436	NA	Array_2_119759-119577_R_NA			
1001593.3	Array_1_49376-48191_R	AFLY01000029	NA	AFLY01000029_1	49376	48191	NA	Array_1_49376-48262_R_NA			
1001593.3	Array_1_58980-60092_F	AFLY01000032	NA	AFLY01000032_1	58980	60092	NA	Array_1_58980-60018_F_NA			
1001593.3	Array_1_38347-39524_F	AFLY01000044	NA	AFLY01000044_1	38347	39524	NA	Array_1_38419-38810_F_NA			
